Price,Close,High,Low,Open,Volume
Ticker,NOKIA.HE,NOKIA.HE,NOKIA.HE,NOKIA.HE,NOKIA.HE
Date,,,,,
2018-01-02,3.3117942810058594,3.3711000300282383,3.2956972024936477,3.3211138655059464,23502815
2018-01-03,3.382960081100464,3.393126824043677,3.330432245883232,3.3380573030906415,23468223
2018-01-04,3.4219324588775635,3.446501751952204,3.380418526243652,3.3999046496435033,22465537
2018-01-05,3.4414186477661133,3.4414186477661133,3.370252044857758,3.3948215418356784,21577936
2018-01-08,3.449890375137329,3.4956403105175573,3.425321085096009,3.4481960527861233,14139693
2018-01-09,3.479543924331665,3.490557830400089,3.445655044734562,3.456668950802986,14565832
2018-01-10,3.4126129150390625,3.471918649176609,3.3812657253909277,3.471918649176609,19365163
2018-01-11,3.3871965408325195,3.4405715444118474,3.3770299985277634,3.4312523654610567,16258536
2018-01-12,3.3863492012023926,3.39905763090638,3.3634742297288525,3.394821420340505,15956676
2018-01-15,3.4100711345672607,3.432098942132068,3.386348802576848,3.3939738595016538,10559410
2018-01-16,3.426168918609619,3.4795437190315446,3.4160021745328844,3.4160021745328844,15150384
2018-01-17,3.4278628826141357,3.461751756665717,3.3897377983092953,3.4143074945884013,15171916
2018-01-18,3.358391284942627,3.4414189622575204,3.331280099455412,3.416002503604543,28960528
2018-01-19,3.366863489151001,3.4024466926909254,3.351613573632985,3.3533078964718412,15822357
2018-01-22,3.3710992336273193,3.404140948335516,3.3677101844313757,3.3719463949294886,16444046
2018-01-23,3.399904727935791,3.4126129554058506,3.3846546125793595,3.388890823065135,13608571
2018-01-24,3.3634746074676514,3.39736368981969,3.348224490110185,3.3888912677364353,17997635
2018-01-25,3.3007802963256836,3.3804193334971266,3.2719747859839825,3.3719471126911156,21163950
2018-01-26,3.2829883098602295,3.3067106465430904,3.258418811793798,3.2948493772048333,19855000
2018-01-29,3.3846547603607178,3.4109187817345497,3.299085405545698,3.317724166914745,27211685
2018-01-30,3.3719465732574463,3.4185436792392045,3.3439882288709333,3.3778771066735374,23110405
2018-01-31,3.2846827507019043,3.3617798884657555,3.2618075759870435,3.3617798884657555,40916811
2018-02-01,3.669320821762085,3.806571029894149,3.2914596738012687,3.3041681012185347,80466496
2018-02-02,3.727780342102051,3.8175859122414466,3.6583078570587237,3.770141239042674,40200165
2018-02-05,3.743877649307251,3.7989471793453817,3.664238419105096,3.705752558974137,47671481
2018-02-06,3.7252376079559326,3.7921681896699697,3.5913764445278584,3.6320434134589696,52479638
2018-02-07,3.837070941925049,3.8565572650875493,3.739640538074181,3.7701403606055233,32257846
2018-02-08,3.7565858364105225,3.864183007144239,3.7472662532806043,3.8218221103453396,24412696
2018-02-09,3.7116823196411133,3.8023350329833856,3.69643220588654,3.727779594606403,38779086
2018-02-12,3.7828497886657715,3.818432989793188,3.7489609102623382,3.7506552329863205,16254418
2018-02-13,3.776071071624756,3.816738042241233,3.7396407150992648,3.7896268631593255,12041160
2018-02-14,3.8319876194000244,3.839612878119901,3.7421820690471157,3.795557264137385,16156089
2018-02-15,3.872654438018799,3.9217934212413934,3.8379184064947447,3.84384893860892,20263274
2018-02-16,3.9463632106781006,3.94975225973852,3.8963770599636103,3.9006132702923217,23290747
2018-02-19,3.9200987815856934,3.9565295402242406,3.898070974964062,3.9446684757337023,9383982
2018-02-20,3.9497528076171875,3.9607667136072484,3.9082386678143526,3.911627717344875,12318281
2018-02-21,3.971780776977539,3.9802527951585818,3.929419474110351,3.939586219117462,11430370
2018-02-22,3.962460994720459,3.974322061971625,3.9141691603515936,3.939586021595024,25130125
2018-02-23,3.969238758087158,3.969238758087158,3.9336555557207924,3.9336555557207924,12270531
2018-02-26,4.060738563537598,4.136988331356591,4.011599572906618,4.011599572906618,26606734
2018-02-27,4.0963215827941895,4.115807503545974,4.052265965805683,4.073446613048194,18108741
2018-02-28,4.069210529327393,4.121738164453815,4.045488397592058,4.084460644294647,20803349
